counter,date_time,latitude,longitude,temperature,humidity,pressure,pitch,roll,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,motion_detected,humans_detected
48042,2023-05-12 15:34:23,-51.65432252,-54.83031691,38.1384697,24.9192791,1003.37207,336.1994118,67.12472909,302.7572808,0.01854399964,0.0361119993,0.01683599874,-0.001977033913,0.00141646713,-0.001872206107,3.997068405,3.143216372,-2.946608543,0,0
48043,2023-05-12 15:34:23,-51.65490649,-54.81889339,38.45851135,24.32571602,1003.375977,336.1637924,67.18772392,303.0491963,0.01805599965,0.03757599741,0.01610399969,-0.002281777561,-0.001026645303,0.000265808776,3.710623741,3.369773149,-3.463704824,0,0
48044,2023-05-12 15:34:23,-51.65550785,-54.80710469,38.52963257,24.78465652,1003.370117,336.2328149,67.13631309,302.9659055,0.01878799871,0.0361119993,0.01293199975,-0.002281114459,0.001416876912,0.001487502828,3.764330387,3.195382833,-3.500188828,1,0
48045,2023-05-12 15:34:23,-51.65609192,-54.79563051,39.09859848,26.3511734,1003.371582,336.1439165,67.17405671,302.8381537,0.01756799966,0.03806399927,0.0156159997,0.0004676729441,0.0005005672574,-0.0009556375444,3.685019255,3.406794548,-3.301395655,1,0
48046,2023-05-12 15:34:23,-51.65673184,-54.78303133,38.54741287,24.69592667,1003.373047,336.1960906,67.12921652,302.6999994,0.01854399964,0.0361119993,0.0156159997,-0.0001428872347,0.0001952201128,-0.001566307619,3.633987665,3.202344179,-3.159133911,0,0
48047,2023-05-12 15:34:23,-51.65731169,-54.7715895,38.47629166,24.3563118,1003.377197,336.1430798,67.22429275,302.5514428,0.01781199872,0.03757599741,0.01585999876,-0.0007541701198,-0.0007209330797,0.0002662241459,3.699918747,3.254407167,-3.201105118,0,0
48048,2023-05-12 15:34:23,-51.65795283,-54.75891005,38.61853409,24.70510674,1003.385254,336.1070369,67.14418147,302.5730877,0.01830000058,0.03586800024,0.0173240006,-0.0001430027187,0.0001952424645,0.002098601311,3.566264629,3.214609623,-3.382527828,0,0
48049,2023-05-12 15:34:23,-51.65855368,-54.74700031,38.28070831,24.07176781,1003.382324,336.2096964,67.12121837,302.4710583,0.0173240006,0.03660000116,0.01512799971,0.0004680082202,0.0005007460713,-0.001566343009,3.730732203,3.339177608,-3.282170296,0,0
48050,2023-05-12 15:34:24,-51.6591829,-54.73450007,38.24514771,25.05390167,1003.378906,336.1992581,67.20566683,302.4701089,0.0173240006,0.03855200112,0.01659199968,-0.001363947988,0.0001954585314,-0.0006501618773,3.916886568,3.281481266,-2.873398304,0,0
48051,2023-05-12 15:34:24,-51.65994956,-54.71922983,38.26293182,25.65664291,1003.382813,336.2365202,67.1771303,302.7320603,0.01830000058,0.03684400022,0.01512799971,-0.002585168928,-0.000110194087,0.000266302377,3.831639767,3.234198093,-2.982571363,0,0
48052,2023-05-12 15:34:24,-51.66058231,-54.70659393,38.47629166,24.83361053,1003.377686,336.3150025,67.1508409,302.9505103,0.01951999962,0.03757599741,0.0153719997,-0.003195729107,0.002333022654,-3.94E-05,3.981864929,3.49230361,-2.974951506,0,0
48053,2023-05-12 15:34:24,-51.6611554,-54.69512372,38.88523865,25.05084229,1003.37207,336.3292213,67.1626503,303.0858402,0.01854399964,0.03757599741,0.01756799966,0.0004696920514,0.002027593553,0.0002659689635,4.083252907,3.159398794,-3.350146532,0,0
48054,2023-05-12 15:34:24,-51.66178748,-54.6824443,39.2052803,25.00800705,1003.373291,336.3505725,67.03370999,303.3166972,0.01683599874,0.03660000116,0.01463999972,0.000469814986,0.001416578889,0.0005713365972,3.969426394,3.24369359,-3.447194815,0,0
48055,2023-05-12 15:34:24,-51.6623789,-54.67055287,38.15625,23.4843235,1003.363037,336.3348408,67.11207275,303.3151536,0.01781199872,0.03708799928,0.01781199872,0.0007751695812,0.0008053183556,-0.0003447420895,3.913359642,3.076146603,-3.85961175,0,0
48056,2023-05-12 15:34:24,-51.66298887,-54.65826083,38.88523865,24.86420631,1003.360596,336.2722626,66.99781734,303.1944402,0.01830000058,0.03660000116,0.0153719997,-0.0004464909434,-0.001027241349,0.0002661626786,3.898291111,3.215769768,-3.606065035,1,0
48057,2023-05-12 15:34:24,-51.66357707,-54.64638014,39.09859848,24.32571602,1003.367676,336.2655947,67.0223104,303.1491014,0.0173240006,0.0361119993,0.01707999967,0.00108069554,0.0001943260431,-0.001566445455,3.842663288,3.029369831,-3.218226671,0,0
48058,2023-05-12 15:34:25,-51.66414338,-54.63491657,39.1697197,24.8427887,1003.360352,336.2699899,66.97634323,303.2733528,0.01781199872,0.03708799928,0.01683599874,-0.0001408085227,0.001110352576,-0.001261077821,3.648494005,3.058050156,-3.078567266,0,0
48059,2023-05-12 15:34:25,-51.66474661,-54.62267815,38.45851135,24.9957695,1003.361084,336.2764171,66.90770666,303.411268,0.01707999967,0.03660000116,0.01488399971,-0.0007518529892,-0.001638554037,0.0005712229759,3.912175894,3.413243532,-3.064400196,0,0
48060,2023-05-12 15:34:31,-51.66534058,-54.61059975,38.12068939,24.75100136,1003.36499,336.240521,66.91261073,303.432988,0.01781199872,0.03684400022,0.01634800062,-0.001973148435,0.0008052438498,-0.0006506498903,3.984606743,3.37788415,-3.226037264,0,0
48061,2023-05-12 15:34:31,-51.6921544,-54.03301246,38.56519318,24.8672657,1003.371338,336.5142477,67.46692156,303.6108496,0.02000799961,0.0378200002,0.01512799971,0.0004703588784,-0.0007217824459,-0.0009560696781,3.984829426,3.499032736,-3.166676998,0,0
48062,2023-05-12 15:34:31,-51.6924856,-54.02543269,39.06303787,24.81831169,1003.375488,336.4438284,67.58304161,303.535475,0.01927600056,0.03708799928,0.01366399974,-0.002583771944,-0.0007218196988,0.0002654958516,4.146015167,4.098062992,-3.208286047,0,0
48063,2023-05-12 15:34:31,-51.69281564,-54.01786739,38.54741287,24.78771591,1003.371826,336.4012815,67.55544082,303.3737566,0.01830000058,0.03708799928,0.01610399969,0.0001648887992,-0.001027032733,0.0008763726801,3.88492775,3.924338818,-2.882869005,0,0
48064,2023-05-12 15:34:31,-51.69314582,-54.0102863,38.36961365,24.68062973,1003.369629,336.3532396,67.44386285,303.2329044,0.01781199872,0.03562399745,0.01293199975,-0.0004460811615,0.0004997029901,-0.0006509050727,3.931058168,3.396582365,-2.71970439,0,0
48065,2023-05-12 15:34:31,-51.69348932,-54.00238662,38.88523865,25.03860474,1003.37085,336.3192082,67.45546051,303.3464119,0.01781199872,0.03830799833,0.01659199968,0.002302393317,-0.0001113861799,0.001181729138,3.866677523,3.367290735,-2.902053595,0,0
48066,2023-05-12 15:34:31,-51.69383236,-53.99448393,38.51185226,24.7142849,1003.372559,336.225358,67.54813934,303.3853304,0.01830000058,0.03757599741,0.01659199968,0.001079816371,-0.00224903971,0.0002656001598,3.757786036,3.235966444,-2.782323122,0,0
48067,2023-05-12 15:34:31,-51.6941905,-53.98621898,38.1384697,24.78159714,1003.371826,336.1695981,67.54341968,303.4710697,0.01927600056,0.03806399927,0.01244399976,0.002301331609,0.001415796578,-0.0006506070495,3.879477978,3.19619894,-2.957472324,0,0
48068,2023-05-12 15:34:31,-51.69451776,-53.97865408,38.99191666,24.95293427,1003.374512,336.0750546,67.65527769,303.5458296,0.0156159997,0.03855200112,0.01488399971,0.003522448242,-0.002249129117,-0.001872427762,3.802608013,3.689861774,-3.175729036,0,0
48069,2023-05-12 15:34:31,-51.69486074,-53.97071221,38.19181061,24.53682899,1003.377441,336.1598941,67.69989932,303.3874511,0.01756799966,0.03733199835,0.01463999972,0.001078784466,0.0004996135831,0.0002656653523,3.867672205,3.794282198,-3.207950592,0,0
48070,2023-05-12 15:34:31,-51.69523582,-53.96201165,38.1740303,24.83361053,1003.375,336.1138057,67.76697861,303.1620993,0.01976399869,0.03879600018,0.01683599874,0.0007733218372,-0.0004170164466,-0.001567043364,4.216638565,3.551743507,-3.230962992,0,0
48071,2023-05-12 15:34:31,-51.69565031,-53.95237766,38.51185226,23.4843235,1003.370117,336.1382321,67.80091098,303.2294381,0.01707999967,0.03855200112,0.01659199968,-0.001670397818,0.002636931837,0.001181889325,4.065896034,3.655673742,-3.349267244,0,0
48072,2023-05-12 15:34:32,-51.69600717,-53.94406724,38.26293182,24.40220642,1003.358643,336.166603,67.73008192,303.252087,0.01854399964,0.03855200112,0.0156159997,0.0001621432602,0.000804245472,0.0008760076016,4.422782898,3.347325563,-3.715492249,0,0
48073,2023-05-12 15:34:32,-51.69653099,-53.93184132,38.63631439,24.77547836,1003.356689,336.1873378,67.63979365,303.4261612,0.01854399964,0.0378200002,0.01488399971,-0.003502823412,0.001109130681,0.0002655442804,3.933570385,3.559130907,-3.574418545,0,0
